A,1,1,1,1,1,,H,A
Agrave,1,1,1,1,[F],,,
Aacute,1,1,1,1,[F],,,
Acircumflex,1,1,1,1,[F],,,
Atilde,1,1,1,1,[F],,,
Adieresis,1,1,1,1,[F],,,
Aring,1,1,1,1,[F],,,
Amacron,1,1,1,1,[F],,,
Abreve,1,1,1,1,[F],,,
Aogonek,1,1,1,1,[F],,,
Aringacute,1,1,1,1,[F],,,
Adblgrave,1,1,1,1,[F],,,
Ainvertedbreve,1,1,1,1,[F],,,
Adotbelow,1,1,1,1,1,,,
Ahookabove,1,1,1,1,[F],,,
Acircumflexacute,1,1,1,1,[F],,,
Acircumflexgrave,1,1,1,1,[F],,,
Acircumflexhookabove,1,1,1,1,[F],,,
Acircumflextilde,1,1,1,1,[F],,,
Acircumflexdotbelow,1,1,1,1,[F],,,
Abreveacute,1,1,1,1,[F],,,
Abrevegrave,1,1,1,1,[F],,,
Abrevehookabove,1,1,1,1,[F],,,
Abrevetilde,1,1,1,1,[F],,,
Abrevedotbelow,1,1,1,1,[F],,,
Alpha,1,1,1,1,1,,,
Alphatonos,1,1,1,[F],1,,,
Delta,0,1,1,0,1,,,
Lambda,0,1,1,0,1,,,
Acyr,1,1,1,1,1,,,
Abrevecyr,1,1,1,1,[F],,,
Adieresiscyr,1,1,1,1,[F],,,
El.bgr,1,1,1,1,1,,,
Amacroncyr,,1,1,1,[F],,,
V,0,D,C,0,0,,,
